n1,n2,n1_nt,n2_nt
720575940639406963,720575940646066308,ach,ach
720575940622693670,720575940646614404,ach,gaba
720575940623326868,720575940655446689,ach,ach
720575940617447609,720575940624931315,gaba,ach
720575940620130032,720575940624605932,da,ser
720575940621555821,720575940635690335,ach,glut
720575940621209980,720575940631813796,gaba,gaba
720575940626427792,720575940640228669,gaba,gaba
720575940630201851,720575940633404243,ach,gaba
720575940615970783,720575940626459180,gaba,ach
720575940614635951,720575940634666009,glut,glut
720575940619498968,720575940635211768,ach,gaba
720575940608287497,720575940615166570,gaba,ach
720575940619394427,720575940647018019,glut,glut
720575940626177978,720575940636092596,ach,gaba
720575940619197318,720575940631122937,ach,gaba
720575940637136752,720575940639986254,gaba,ach
720575940621748970,720575940628984950,gaba,gaba
720575940613266984,720575940627998218,ach,gaba
720575940635795823,720575940645700228,glut,ach
720575940625566608,720575940630335596,glut,ser
720575940617173877,720575940629200881,ach,ach
720575940612266163,720575940632698797,gaba,ach
720575940609250825,720575940633480749,glut,gaba
720575940622736169,720575940634203617,ach,gaba
720575940615970783,720575940643696420,gaba,ach
720575940620565998,720575940628309416,glut,ach
720575940629560770,720575940634604384,glut,ach
720575940618389208,720575940629592143,ach,da
720575940623508733,720575940633107169,gaba,glut
720575940613978065,720575940621838320,ach,ach
720575940613193965,720575940623222808,ach,glut
720575940616017269,720575940626024781,ach,gaba
720575940614635175,720575940618029733,gaba,ach
720575940611083413,720575940621283931,ach,ach
720575940629862010,720575940645572631,ach,ach
720575940612078267,720575940620743706,glut,gaba
720575940629395756,720575940635290992,gaba,gaba
720575940611175544,720575940616129183,gaba,ach
720575940623830792,720575940625483196,ach,glut
720575940614281214,720575940629174889,ach,gaba
720575940604064614,720575940619931840,ach,gaba
720575940621533985,720575940638025818,ach,gaba
720575940614606742,720575940626704228,ach,gaba
720575940614879634,720575940615614314,ach,gaba
720575940624817416,720575940627255582,ach,gaba
720575940617257985,720575940633677167,gaba,ach
720575940621312751,720575940623532387,ach,gaba
720575940621420097,720575940631122937,ach,gaba
720575940611930481,720575940641220853,ach,gaba
720575940617044293,720575940646126190,ach,gaba
720575940628003739,720575940629187962,ach,glut
720575940627160143,720575940638915918,ach,gaba
720575940630204098,720575940636092596,ach,gaba
720575940605029250,720575940621280688,ach,gaba
720575940612399283,720575940620728710,gaba,ach
720575940606589105,720575940635453535,gaba,ach
720575940618116766,720575940640254552,gaba,ach
720575940623633546,720575940633138771,glut,ach
720575940610106414,720575940632513336,ach,ach
720575940604914353,720575940624184764,ach,gaba
720575940615238546,720575940639193216,ach,gaba
720575940605400096,720575940616378769,ach,gaba
720575940613825199,720575940632231394,ach,ach
720575940613608685,720575940619864047,ach,glut
720575940605327718,720575940618572869,gaba,ach
720575940633404243,720575940637734372,gaba,ach
720575940615970783,720575940617110233,gaba,ach
720575940628561767,720575940641031899,ach,gaba
720575940623703576,720575940632653468,oct,ach
720575940628793982,720575940635530359,gaba,ser
720575940620649972,720575940647031860,ach,gaba
720575940621771041,720575940655014049,gaba,ach
720575940627314009,720575940628735350,ach,ach
720575940631842360,720575940636716206,gaba,ach
720575940604934944,720575940626201372,ach,glut
720575940614926475,720575940637644659,ach,ach
720575940611988197,720575940614714514,ach,ach
720575940623214730,720575940646126190,ach,gaba
720575940628059978,720575940637594334,ser,ach
720575940611905177,720575940628093775,gaba,gaba
720575940612612275,720575940631973580,gaba,ach
720575940612831486,720575940613560994,da,gaba
720575940613816062,720575940628016983,gaba,ach
720575940609482616,720575940638167006,ach,gaba
720575940621283163,720575940622594081,ach,gaba
720575940605610673,720575940640754304,glut,gaba
720575940614217622,720575940617643705,glut,ach
720575940624550581,720575940627798545,ach,glut
720575940630778428,720575940644362788,ach,ser
720575940618582336,720575940619694027,ach,gaba
720575940621338038,720575940630485548,ach,gaba
720575940627879623,720575940639068605,ach,ach
720575940613734893,720575940620904869,gaba,gaba
720575940615970783,720575940623652074,gaba,ach
720575940614719291,720575940615853851,da,da
720575940619629141,720575940625000200,ach,gaba
720575940625706524,720575940627796298,ach,gaba
720575940628711017,720575940645298980,ach,gaba
720575940613744936,720575940639032125,ach,ach
720575940612676721,720575940627936789,glut,ach
720575940604682412,720575940640314019,ach,glut
720575940625232677,720575940631677647,gaba,ach
720575940621902301,720575940627229339,gaba,glut
720575940628720092,720575940632960813,gaba,ach
720575940621854540,720575940623257565,ach,gaba
720575940622994312,720575940628609579,ach,ach
720575940634750871,720575940635106202,glut,ach
720575940618126459,720575940644632087,ach,gaba
720575940606354633,720575940627019004,gaba,ach
720575940613300246,720575940623057366,ach,glut
720575940610239790,720575940634161633,ach,gaba
720575940615970783,720575940626091706,gaba,ach
720575940606149321,720575940610903409,gaba,ach
720575940615970783,720575940624961328,gaba,ach
720575940626315010,720575940631628355,da,da
720575940623966404,720575940637545038,ach,ach
720575940623546603,720575940627297284,ach,glut
720575940611506966,720575940644306592,ach,gaba
720575940620851071,720575940637152319,glut,ach
720575940613200025,720575940639953742,gaba,gaba
720575940621055680,720575940625038600,gaba,ach
720575940631911905,720575940638114357,glut,ach
720575940621712500,720575940626056292,ach,ach
720575940625232009,720575940637114458,ach,glut
720575940619531373,720575940634949311,ach,gaba
720575940621701552,720575940641884379,ach,glut
720575940621164720,720575940630199607,da,da
720575940622570083,720575940627996170,ach,gaba
720575940614736290,720575940624988455,glut,gaba
720575940607439964,720575940628059978,ach,ser
720575940613167007,720575940640830453,ach,ser
720575940623033580,720575940634144180,ach,gaba
720575940616377659,720575940617773865,glut,ach
720575940632720485,720575940634274017,ach,gaba
720575940627957893,720575940634790648,ach,gaba
720575940613516310,720575940628454728,ach,glut
720575940615970783,720575940627250436,gaba,ach
720575940616967425,720575940628138319,gaba,ach
720575940623482805,720575940636882032,glut,glut
720575940613436957,720575940618037061,gaba,glut
720575940617825629,720575940634274017,ach,gaba
720575940626609234,720575940635540671,ach,gaba
720575940606010569,720575940626592387,ach,glut
720575940627807994,720575940634909807,ach,glut
720575940624940558,720575940629174889,ach,gaba
720575940615970783,720575940622375382,gaba,ach
720575940620353300,720575940632486969,gaba,ach
720575940616002316,720575940630943094,glut,ach
720575940628419076,720575940638039785,gaba,gaba
720575940606220977,720575940612868275,ach,gaba
720575940623277547,720575940623310780,glut,ach
720575940623289796,720575940631900044,glut,ach
720575940617901268,720575940635687860,ach,gaba
720575940604634592,720575940616986427,gaba,ach
720575940606576049,720575940628563688,gaba,gaba
720575940615479007,720575940628693248,gaba,ach
720575940627265274,720575940634116448,ach,gaba
720575940631693928,720575940635154680,ach,gaba
720575940608545219,720575940631710604,gaba,gaba
720575940616437021,720575940622362537,glut,ach
720575940627165080,720575940632807116,ach,ach
720575940616121503,720575940619609467,ach,glut
720575940622307731,720575940629865410,ach,gaba
720575940605676204,720575940618954038,ach,gaba
720575940614217622,720575940624458679,glut,ach
720575940627996170,720575940628319431,gaba,ach
720575940620658267,720575940639789475,ach,ach
720575940623536398,720575940643338020,glut,ach
720575940626977947,720575940630506102,ach,da
720575940610057540,720575940617413790,ach,glut
720575940606274946,720575940636087006,gaba,ach
720575940612448790,720575940620220581,glut,ach
720575940616140486,720575940634124513,ach,ach
720575940617940308,720575940636679989,gaba,ach
720575940612286259,720575940614017534,glut,ach
720575940630580311,720575940632512568,gaba,glut
720575940613686434,720575940614041238,ach,glut
720575940607102153,720575940630153598,ach,gaba
720575940620800944,720575940627690246,ach,ser
720575940615970783,720575940643778208,ach,ach
720575940612868275,720575940643873440,gaba,ach
720575940631410316,720575940640830453,ach,ser
720575940610544810,720575940626292272,gaba,ach
720575940615926489,720575940616835701,gaba,ach
720575940611352014,720575940637136752,ach,gaba
720575940611890289,720575940622095228,ach,ach
720575940620764331,720575940634666009,glut,glut
720575940619931119,720575940626143806,da,ach
720575940612570993,720575940640321165,ach,glut
720575940618177977,720575940622139007,gaba,ach
720575940621543194,720575940630506102,ach,da
720575940611231608,720575940644644040,gaba,ach
720575940635287800,720575940635898036,ach,gaba
720575940608566979,720575940619529455,glut,ach
720575940617440395,720575940617496925,ach,gaba
720575940609860803,720575940637933373,ach,glut
720575940617736121,720575940622447860,glut,ach
720575940630353682,720575940641359776,gaba,ach
720575940624084371,720575940649410169,glut,ach
720575940614705583,720575940628451856,ach,da
720575940620755296,720575940621316846,ach,gaba
720575940604525792,720575940614879634,glut,glut
720575940608343620,720575940623089166,glut,da
720575940615680874,720575940615970783,ach,gaba
720575940617137937,720575940628391848,ach,gaba
720575940614840518,720575940625390979,ach,ach
720575940629295810,720575940645119267,gaba,ach
720575940638154805,720575940638832035,ach,gaba
720575940612534954,720575940621675174,ach,gaba
720575940614705583,720575940624784115,ach,glut
720575940626624275,720575940629097922,ach,ach
720575940610877098,720575940632862177,da,glut
720575940615387404,720575940624217528,gaba,ach
720575940613926111,720575940620140337,ach,glut
720575940636732334,720575940642809032,glut,glut
720575940615989298,720575940624175029,gaba,ach
720575940627796298,720575940641585096,gaba,ach
720575940621130367,720575940644140567,gaba,ach
720575940615970783,720575940622380554,ach,ach
720575940609379396,720575940628558671,glut,ach
720575940612053106,720575940634313071,glut,ach
720575940612615149,720575940620904869,ach,gaba
720575940619955583,720575940626228230,gaba,gaba
720575940614159010,720575940634160735,ach,glut
720575940620183745,720575940644850980,ach,gaba
720575940623925173,720575940631309866,gaba,ser
720575940624243006,720575940627738640,ach,gaba
720575940614424017,720575940621784979,ach,ach
720575940609406276,720575940629502224,gaba,glut
720575940616205083,720575940627761162,gaba,gaba
720575940622991252,720575940636890345,gaba,gaba
720575940623686185,720575940645458030,gaba,ach
720575940622028435,720575940623703576,ach,glut
720575940613655483,720575940640955637,ach,gaba
720575940620492126,720575940620775039,glut,ach
720575940618859713,720575940630483564,gaba,ach
720575940620718318,720575940635153515,gaba,glut
720575940619789248,720575940620904869,ach,ach
720575940614751574,720575940635898036,ach,gaba
720575940602737598,720575940622220201,ach,gaba
720575940615970783,720575940623667383,gaba,ach
720575940612741160,720575940619984689,ach,glut
720575940625942078,720575940634215834,ach,glut
720575940611102469,720575940619087013,ach,ach
720575940621675174,720575940624865575,gaba,gaba
720575940621024545,720575940621716835,ach,glut
720575940627138562,720575940640044632,gaba,ach
720575940604562656,720575940638383704,gaba,glut
720575940635025504,720575940646117764,ach,gaba
720575940639972816,720575940643867296,glut,gaba
720575940629778587,720575940631122937,ach,gaba
720575940617422641,720575940632368992,ach,glut
720575940620499915,720575940631917131,gaba,gaba
720575940613382678,720575940629939650,gaba,ach
720575940627190556,720575940631744081,gaba,gaba
720575940624087699,720575940633256087,gaba,ach
720575940609282825,720575940626253331,gaba,ach
720575940615989298,720575940630103799,gaba,ach
720575940608390869,720575940646775843,ach,glut
720575940612433578,720575940613532786,ach,gaba
720575940631543314,720575940633637274,glut,ach
720575940624034284,720575940632605644,ach,gaba
720575940608199748,720575940627927573,ach,gaba
720575940608376132,720575940620904869,ach,gaba
720575940630042508,720575940631122937,ach,gaba
720575940630407388,720575940635066975,gaba,ach
720575940613797295,720575940621280688,ach,gaba
720575940621675174,720575940623948727,gaba,ach
720575940608933212,720575940645233262,ach,glut
720575940613406114,720575940615970783,ach,gaba
720575940612346547,720575940617229632,ach,ach
720575940613139778,720575940640369883,gaba,ach
720575940634854554,720575940639578958,gaba,ach
720575940626637002,720575940631954959,ach,ach
720575940639886755,720575940645088291,ach,oct
720575940624677709,720575940626410012,glut,ach
720575940615970783,720575940631736680,gaba,ach
720575940604508332,720575940622451197,ach,glut
720575940611108721,720575940627870995,ach,gaba
720575940630571052,720575940633804212,gaba,ach
720575940605162668,720575940616734581,ach,gaba
720575940620999206,720575940629343643,gaba,ach
720575940624081131,720575940635062196,ach,ach
720575940619995989,720575940628541672,glut,glut
720575940616586937,720575940621615231,ser,glut
720575940623401513,720575940626637002,ach,gaba
720575940625686078,720575940645975348,gaba,ach
720575940634248184,720575940636069348,ach,ach
720575940633486509,720575940646864260,gaba,glut
720575940627796298,720575940628985088,gaba,ach
720575940627824458,720575940630644439,ach,gaba
720575940617537570,720575940624515571,gaba,ach
720575940613596397,720575940630542336,ach,glut
720575940621675174,720575940628568514,gaba,ach
720575940626641701,720575940631117911,gaba,ach
720575940626091778,720575940626144711,ach,ach
720575940619436342,720575940624784280,gaba,ach
720575940616781652,720575940628808391,glut,ach
720575940634733920,720575940641822349,glut,ach
